short_company,th_company_name,eng_company_name,type_business,type_technology,product,type_innovation,detail,owner,province_base,address,phone_number,email,website,note,source,cluster
iAppCreation,บริษัท ไอ-แอ๊ป ครีเอชั่น จำกัด,"I-App Creation Co., Ltd.","SW, Digital Service",,,,"บริการ จัดหา Mobile/IT Solutions, บริการ Mobile Application เช่น Pastel Keyboard, CropVideoSquare","นาย เอกชัย เจริญพัฒนมงคล, นาย ปองพล วรพฤกษ์พิสุทธิ์, นางสาว นิธิศา เจตน์มงคลรัตน์",กรุงเทพมหานคร,23/34-35 อาคารเซนทรัล สเตชั่้น ชั้น 4 ห้อง 4อี ถนนตรีมิตร แขวงตลาดน้อย เขตสัมพันธวงศ์ กรุงเทพมหานคร 10100,08-8668-3339,support@iappcreation.com,"http://www.iappcreation.com, http://www.pastelapps.com",,,0
ENRES,บริษัท เอ็นเนอร์จี้ เรสปอนส์ จำกัด,"Energy Response Co., Ltd.","HW/Smart Device, SW","Artificial Intelligence, Internet of Thing",,,บริการระบบวิเคราะห์และตรวจสอบคุณภาพ และการใช้พลังงานอาคารอัตโนมัติ ได้แก่ ระบบไฟฟ้า อากาศ น้ำ ด้วยเทคโนโลยี IoT และ AI (ปัญญาประดิษฐ์) แบบเรียลไทม์,"นาย ไชยวิวรรธน์ ชูวิเชียร, นาย ไพศิษฐ์ จรัลนามศิริ, นาย กฤษฎา ตั้งกิจ",กรุงเทพมหานคร,408 อาคารพหลโยธิน เพลส ชั้น 19 ห้อง 408/82 แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400,08-0264-6144,contact@enres.co,http://www.enres.co,,,4
onechat,บริษัท ทัช คอร์ จำกัด,"Touchcore Co., Ltd.","SW, Digital Content",Chatbot,,,"บริการทางด้านการโฆษณาอย่างเต็มรูปแบบ, บริการ Chatbot ""Onechat"" ที่สามารถวิเคราะห์พฤติกรรมการซื้อของลูกค้าจากระยะเวลาและข้อความแชทด้วย A.I. พร้อมคัดแยกกลุ่มลูกค้า",นาย อัครวัฒน์ เศรษฐีเชาวลากุล,กรุงเทพมหานคร,69/5 อาคารตั้งฮั่วปัก ซอยศึกษา ถนนสีลม แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500,0-240-25626,care@onechat.ai,http://www.onechat.ai/th/home/,,,4
Dexii,บริษัท วิชวล อีดีเอ็กซ์ จำกัด,"Visual Edx Co., Ltd.",SW,,,,"บริการ จัดทำซอฟต์แวร์ เกมส์ โปรกรมสำเร็จรูปทุกประเภท, Dexii สร้างสื่อการเรียนรู้สำหรับเด็กในวิชาวิทยาศาสตร์  สำหรับเด็ก ป.4-ป.6 โดยมีทั้งวีดีโอ สื่อแบบ interactive และ VR","นาย โอชวิน จิรโสตติกุล, นาย ธนโชติ วิสุทธิสมาน",กรุงเทพมหานคร,264/121 ซอยเทียนทะเล 19 ถนนบางขุนเทียน-ชายทะเล แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพมหานคร 10150,08-6419-0940,hi@dexii.co,http://www.dexii.co,,,4
Infofed,บริษัท อินโฟเฟด จำกัด,"Infofed Co., Ltd.","SW, Digital Content",Artificial Intelligence,,,"บริการทำคอมพิวเตอร์กราฟฟิกแอนิเมชั่นและเทคนิคพิเศษ, บริการ Platform eSports ทั้งแบบ online คือ eArena.com และเป็น eSport event organizer แบบ offline คือ Thailand E-Sports Arena ด้วยเทคโนโลยี VR และ AR","นาย จิรยศ เทพพิพิธ, นาย จิรันดร เทพพิพิธ, นาง สมจิตต์ เทพพิพิธ",กรุงเทพมหานคร,670 ถนนเทศบาลนิมิตรเหนือ แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900,08-8018-8888,contact@infofed.com,"http://infofed.com, http://thailand.earena.com",,,0
OneStockHome,บริษัท วันสต๊อกโฮม จำกัด,"Onestockhome Co., Ltd.",SW,,,,บริการ เว็บไซต์ขายวัสดุก่อสร้าง และวัสดุตกแต่งออนไลน์ที่เป็น One-Stop Service เชื่อมโยงผู้ที่เกี่ยวข้องในวงการวัสดุก่อสร้าง และวัสดุตกแต่ง ทั้งโรงงาน ซัพพลายเออร์ แบรนด์ ร้านค้า ผู้ผลิต ผู้จัดจำหน่าย ผู้ขนส่ง ช่าง ผู้รับเหมา แผนกจัดซื้อบริษัท เจ้าของบ้าน,"นางสาว วชิรา คิมหสวัสดิ์, นาย อนวัช คิมหสวัสดิ์",กรุงเทพมหานคร,1-7 อาคารซิลลิค เฮ้าส์ ชั้นที่ 4 ห้องเลขที่ 02 ถนนสีลม แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500,0-2026-3223,cs@onestockhome.com,http://www.onestockhome.com,,,4
Refinn,บริษัท รีฟินน์ อินเตอร์เนชั่นแนล ดอท คอม จำกัด,"Refinn International Dot Com Co., Ltd.",SW,"Artificial Intelligence, Big Data, Machine Learning, Data Science","เทคโนโลยีสารสนเทศ, แอพลิเคชั่น",ผลิตภัณฑ์,"บริการ เปรียบเทียบอัตราดอกเบี้ยสินเชื่อจากธนาคารชั้นนำ ไม่ว่าจะเป็นสินเชื่อรีไฟแนนซ์บ้าน, รีไฟแนนซ์บัตรเครดิต, รีไฟแนนซ์รถ, บ้านแลกเงิน, รถแลกเงิน และสินเชื่อส่วนบุคคล และยังให้บริการสมัครสินเชื่อออนไลน์","นางสาว นิลทิตา เลิศเรืองศุภกุล, นาย เพียรไกร อัศวโภคา",กรุงเทพมหานคร,897 ซอยลาดพร้าว107 แยก35 ถนนลาดพร้าว แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240,0-2080-3924,contact@refinn.com,http://www.refinn.com,,http://www.7innovationawards.com/award/detail-1171,4
Priceza,บริษัท ไพรซ์ซ่า จำกัด,"Priceza Co., Ltd.",SW,,,,บริการ Shopping Search Engine (Priceza)และ บริการเปรียบเทียบผลิตภัณฑ์ด้านการเงิน บัตรเครดิต สินเชื่อส่วนบุคคล บัตรกดเงินสด และประกันภัยรถยนต์  ประกันเดินทาง (Priceza Money),"นาย ธนาวัฒน์ มาลาบุปผา, นาย วิโรจน์ สุภาดุลย์, นาย อัลเบิร์ต ซี ชี",กรุงเทพมหานคร,126/101 อาคารไทยศรี ชั้น 26 ถนนกรุงธนบุรี แขวงบางลำภูล่าง เขตคลองสาน กรุงเทพมหานคร 10600,0-2860-6125,info@priceza.com,"http://www.priceza.com, http://money.priceza.com",,,4
SkillLane,บริษัท สกิลเลน เอดูเคชั่น จำกัด,"Skilllane Education Co., Ltd.","SW, Digital Service",,,,"บริการ Platform คอร์สเรียนออนไลน์ ในรูปแบบเว็บไซต์และโมบายแอปพลิเคชัน, จัดทำ ผลิต ให้บริการและจำหน่ายสื่อการเรียนรู้ การสอน","นาย ฐิติพงศ์ พิสิฐวุฒินันท์, นาย เอกฉัตร อัศวรุจิกุล",นนทบุรี,49/5 ถนนเลี่ยงเมือง นนทบุรี ตำบลตลาดขวัญ อำเภอเมืองนนทบุรี จังหวัดนนทบุรี 11000,08-1996-7150,info@SkillLane.com,http://www.skilllane.com,,,3
Local Alike,บริษัท โลเคิล อไลค์ จำกัด,"Local Alike Co., Ltd.",SW,,"เทคโนโลยีสารสนเทศ, แอพลิเคชั่น",ผลิตภัณฑ์,"ตัวแทนธุรกิจการท่องเที่ยวและผู้จัดนำเที่ยว, บริการ Platform เชื่อมโยงระหว่างการท่องเที่ยวโดยชุมชน กับนักท่องเที่ยว ที่สนใจในเรื่องการท่องเที่ยวแบบยั่งยืน","นาย สมศักดิ์ บุญคำ, นางสาว สุรัชนา ภควลีธร",กรุงเทพมหานคร,12 ซอยอินทามระ 3 ถนนสุทธิสารวินิจฉัย แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400,0-2115-9861,info@localalike.com,http://localalike.com,,http://award.nia.or.th/th/award-winner/1160-โลเคิล%20อไลค์%20ดอท%20คอม,0
"aomMoney, INFOgraphic Thailand",บริษัท ไลค์ มี จำกัด,"Like Me Co., Ltd.",SW,,,,"บริการ เว็บไซต์ให้ความรู้ทางการเงิน aomMoney.com, ผลิต Infographic, Motion Graphic, Presentation, อบรมสัมมนาและผลิต Infographic ด้วย Technology พิเศษ ไม่ว่าจะเป็น VR, AR และ Interactive Website","นาย ธนโชติ วิสุทธิสมาน, นาย โอชวิน จิรโสตติกุล, นางสาว กมลฉัตร คูประเสริฐ",กรุงเทพมหานคร,216 ซอยบางบอน 5 ซอย 18 แขวงบางบอน เขตบางบอน กรุงเทพมหานคร 10150,09-2264-5499,hi@aommoney.com,http://aommoney.com,,,3
Ookbee,บริษัท อุ๊คบี จำกัด,"Ookbee Co., Ltd.","SW, Digital Content","Artificial Intelligence, Big Data, Machine Learning, Data Science",องค์กร,กระบวนการผลิต,บริการ Platform e-Book และ Content ข่าว/สื่อ/โฆษณา/สิ่งพิมพ์/ขายภาพ/จัดอีเว้นท์ บันเทิง/ดูหนัง/ฟังเพลง/เต้นรำ/สัตว์เลี้ยง/เครื่องดนตรี บนเว็บไซต์,นาย ณัฐวุฒิ พึงเจริญพงศ์,กรุงเทพมหานคร,1104/207-209 อาคาร/หมู่บ้าน โนเบิลพัฒนาการ ชั้น หมู่ที่ ซอย ถนนพัฒนาการ แขวงสวนหลวง เขตสวนหลวง จังหวัดกรุงเทพมหานคร 10250,0-2187-2701,member@ookbee.com,http://www.ookbee.com,,http://award.nia.or.th/th/award-winner/1365-บริษัท%20อุ๊คบี%20จำกัด,4
Jitta,บริษัท จิตตะ ดอท คอม จำกัด,"Jitta Dot Com Co., Ltd.",SW,"Artificial Intelligence, Big Data, Machine Learning","เทคโนโลยีสารสนเทศ, แอพลิเคชั่น",ผลิตภัณฑ์,"บริการ Platform เว็บไซต์วิเคราะห์หุ้นเพื่อการลงทุนแนวเน้นคุณค่า หรือ Value Investing (VI), ประกอบกิจการผลิตเว็บไซต์ข้อมูลข่าวสารด้านการลงทุน, นวัตกรรมที่จะทำให้ชีวิตมั่งคั่ง Jitta Wealth บริการกองทุนส่วนบุคคล ที่จะบริหารจัดการเงินลงทุนแบบอัตโนมัติ (Automated Value Stock Investment) โดยไม่ต้องวิเคราะห์หุ้นเอง ช่วยกระจายความเสี่ยง และจัดสัดส่วนเงินลงทุน ซึ่งสามารถเลือกหุ้นตามอันดับ “หุ้นดีราคาถูก น่าลงทุน” ของ Jitta Ranking ซึ่งวิเคราะห์และคัดเลือกหุ้นจากตลาดหลักทรัพย์ทั้งไทย สหรัฐอเมริกา และเวียดนาม มาวิเคราะห์การลงทุนด้วยเทคโนโลยี AI   เพื่อให้พอร์ตเติบโต ได้ผลตอบแทนระยะยาวที่ดี",นาย ตราวุทธิ์ เหลืองสมบูรณ์,กรุงเทพมหานคร,1111/127 หมู่บ้านกลางเมือง รัชดา-ลาดพร้าว (ระหว่างซอยลาดพร้าว 23 และ 25) ถนนลาดพร้าว แขวงจันทรเกษม เขตจตุจักร กรุงเทพมหานคร 10900,0-2026-3707,wonderful@jitta.com,http://www.jitta.com/about,,http://www.innovationthailand.org/th/project-detail/Jitta-Wealth,4
Fixzy,บริษัท ฟิกซิ จำกัด,"Fixzy Co., Ltd.","SW, Digital Service",,"เทคโนโลยีสารสนเทศ, แอพลิเคชั่น",ผลิตภัณฑ์,บริการ Platform ที่รวบรวมข้อมูลและจัดหาผู้ให้บริการเกี่ยวกับบ้าน เรื่องของการซ่อมแซม ย้ายและติดตั้ง บำรุงรักษา และการทำความสะอาด ครอบคลุมทั้งระบบน้ำ ระบบไฟ งานโครงสร้าง เครื่องใช้ไฟฟ้า  การบำรุงรักษา ล้างแอร์ บริการแม่บ้าน ทำสวน และบริการดูแลบ้านอื่นๆ แบบครบวงจร,"นาย ชฎิล เอี่ยมเกตุแก้ว, นาย รัชวุฒิ พิชยาพันธ์, นาย วิษณุพงษ์ วงศ์วาสน์",กรุงเทพมหานคร,599 ชั้น 3 ถนนรามคำแหง แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240,0-2165-0384,info@fixzy.net,http://www.fixzy.net,,http://www.7innovationawards.com/award/detail-1000,4
socialgiver,บริษัท โซเชียลโมชั่น จำกัด,"SocialMotion Co., Ltd.","SW, Digital Content",,,,"บริการ Platform Socialgiver สื่อกลางในการช่วยเหลือสังคมโดยเป็นตัวกลางระหว่างผู้บริโภคและภาคธุรกิจการท่องเที่ยว อาหาร ทัวร์,  บริการโฆษณา","นาย อาชว์ วงศ์จินดาเวศย์, นางสาว อลิสา นภาทิวาอำนวย",กรุงเทพมหานคร,อาคารเคเอกซ์ มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี ชั้น 12 110/1 ถนนกรุงธนบุรี แขวงบางลำภูล่าง เขตคลองสาน กรุงเทพฯ 10600,06-2458-2626,hello@socialgiver.com,http://www.socialgiver.com/th/shop/,,,0
AIYA,บริษัท มีจีเนียส จำกัด,"MeGenius Co., Ltd.",SW,Chatbot,,,บริการ Platform แชตบอต (Chatbot) สำหรับร้านค้าออนไลน์ที่มีฐานลูกค้าในเฟซบุ๊ก (Facebook) และไลน์ (Line) รวมถึงกลุ่มลูกค้าองค์กร,"นาย อัจฉริยะ ดาโรจน์, นางสาว อิสรีย์ วงศ์เมืองแสน",กรุงเทพมหานคร,ชั้น 28 ตึกเอเชียเซนเตอร์ ถนนสาทร แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพมหานคร 10120,0-2821-5699,hello@aiya.ai,http://aiya.ai,,,0
Toneer,บริษัท ทูเนียร์ จำกัด,"Toneer Co., Ltd.","HW/Smart Device, SW, Digital Service",Internet of Thing,,,"บริการตู้รับสิ่งของหรือรับฝากกุญแจอัฉริยะ Keyceive สำหรับอาคาร ห้องพักแบบควมคุมระยะไกลผ่าน Mobile Application เพื่อใช้ในธุรกิจห้องพัก Hostel หรือสำนักงาน , บริการ ticket vending machine ผ่าน KeyPOS platform,","นางสาว อรทัย อนันต์เรืองวิทย์, นาย ทัศนัย แสวงทรัพย์, นางสาว นิอร โชติเวชชกุล",กรุงเทพมหานคร,88/188 ถนนเทศบาลสงเคราะห์ แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900,0-2121-4645,info@toneer.co.th,http://www.keyceive.com,,,0
Conicle,บริษัท โคนิเคิล จำกัด,"Conicle Co., Ltd.",SW,,,,บริการ Platform บริหารจัดการการเรียนรู้สำหรับการพัฒนาบุคคลากรในองค์กรธุรกิจ LMS (Learning Management System) ผ่าน Conicle.com รวมถึงการเรียนรู้สำหรับสถาบันการศึกษา  ผ่าน Cocodemy.com,"นาย อนพัทย์ วิมลประภาพร, นาย นกรณ์ พฤกษ์พิพัฒน์เมธ",กรุงเทพมหานคร,33 สเปซ ถนนประดิพัทธ์ 17 แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400,0-2077-7687,contact@conicle.com,http://www.conicle.com,32/168 หมู่ที่ 1 ตำบลคลองเกลือ อำเภอปากเกร็ด จังหวัดนนทบุรี,,0
semantic touch,บริษัท ซีแมนทิค ทัช จำกัด,"Semantic Touch Co., Ltd.","SW, Digital Content",,,,"บริการ เว็บแนะนำสถานที่ท่องเที่ยว มาแนว ท่องเที่ยวทั่วประเทศไทย (theTripPacker), บริการระบบ E-Commerce onlin platform (BentoWeb), บริการให้คำปรึกษาทางธุรกิจและการจัดการ บริการเขียน ออกแบบเว็บไซต์","นาย สันติ ศิรินันท์ธนานนท์, นาย ณัฐเศษ ศิรินันท์ธนานนท์",กรุงเทพมหานคร,549/9 ซอยสาธุประดิษฐ์ 34 ถนนสาธุประดิษฐ์ แขวงบางโพงพาง เขตยานนาวา  กรุงเทพมหานคร 10120,0-2683-6512,info@semantictouch.com,http://www.semantictouch.com,,,3
FavStay,บริษัท ปอมปอมอี จำกัด,"Pompom E Co., Ltd.","SW, Digital Content",,,,รับบริหาร จัดหารวบรวมรับจองบ้านพักตากอากาศทุกรูปแบบ คอนโดมิเนียมรวมทั้งอสังหาริมทรัพย์ ภายใต้ Platform Favstay.com ให้บริการที่พักตากอากาศใน กรุงเทพ พัทยา ภูเก็ตหัวหิน และเขาใหญ่,"นางสาว สุชาดา เตโชติรส, นาย ณัฐวุฒิ พึงเจริญพงศ์",กรุงเทพมหานคร,1104/204 อาคารโนเบิล คิวบ์ พัฒนาการ ถนนพัฒนาการ แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250,08-3319-1000,reserve@favstay.com,http://www.favstay.com,FAVSTAY PTE. Ltd. (201537035D) 203 Henderson Road #09-08 Henderson Industrial Park Singapore (159546),,0
Bellugg,บริษัท เบลลัคค์ กรุ๊ป จำกัด,"Bellugg Group Co., Ltd.",Digital Service,,,,บริการจัดส่งสัมภาระระหว่างสนามบินและโรงแรมในประเทศไทย ผ่าน Platform Bellugg.com,"นาย สิภวิช ธำรงวราภรณ์, นาย สิทธิ เนื่องจำนงค์",กรุงเทพมหานคร,52/38 สีลมคอนโดมิเนียม ชั้น11 ถนนสีลม ซอยศาลาแดง2 แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500,08-7336-6666,booking@bellugg.com,http://www.bellugg.com,101/318 หมู่ที่ 4 ตำบลโสนลอย อำเภอบางบัวทอง จังหวัดนนทบุรี 11110,,0
onebyte,บริษัท วันไบต์ จำกัด,"OneByte Co., Ltd.","SW, Digital Service",,,,"บริการ พัฒนาระบบสารบบสารสนเทศ Web Application, Mobile, Desktop and Cloud services","นาง บุปผา จุฑาจำเริญ, นาย รัฐพล ศิริชุมพันธ์, นาย กริช อัศวปฏิพัทธ์",กรุงเทพมหานคร,444 ถนนสมเด็จพระเจ้าตากสิน ซอย 21 แขวงสำเหร่ เขตธนบุรี กรุงเทพมหานคร 10600,0-2860-9992,info@onebyte.co.th,http://www.onebyte.co.th,19/34 ถนนสุขุมวิท 71 แขวงพระโขนงเหนือ เขตวัฒนา กรุงเทพมหานคร,,6
CC ChocoCRM,บริษัท ช็อคโก้ คาร์ด เอ็นเตอร์ไพรส์ จำกัด,"Choco Card Enterprise Co., Ltd.","SW, Digital Service",Data Science,,,"บริการ Platform CRM (customer relationship management) และ การตลาดดิจิตอล (digital marketing) แบบเฉพาะด้านเช่น ระบบ POS (Point-of-Sales), ระบบการจัดการเมมเบอร์ (CRM), การวิเคราะห์ข้อมูล (data analytics) ตลอดจนการทำ strategy ด้าน contents บน Facebook, Instagram (IG), LINE Official Account (Line OA)","นาย สิรสิทธิ์ สุริยพัฒนพงศ์, นาง เนาวลักษณ์ สุริยพัฒนพงศ์, นาย พจน์ สุพรหมจักร",กรุงเทพมหานคร,2150/4 ถนนสุขุมวิท แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260,0-2331-5343,info@chococrm.com,http://web.chococrm.com/Home/Index,,,0
ZeroFriction,บริษัท ซีโร่ ฟริคชั่น จำกัด,"Zero Friction Co., Ltd.","SW, Digital Service",,,,บริการ ให้เช่า รับจัดทำเเละพัฒนา เว็บไซต์ OnePage ซอฟต์เเวร์ระบบบริหารจัดการเซลเพจที่ใช้งานง่าย และยังมีระบบหลังบ้านที่ให้ท่านใช้บริหารจัดการออเดอร์และลูกค้า,"นาย ศิริวัฒน์ เอียดทองใส, นาย อัครวัฒน์ เศรษฐีเชาวลากุล, นางสาว เบญจพร ชัยบุรี",กรุงเทพมหานคร,101/12 ซอยสุขุมวิท 101/1 แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260,0-2006-2471,contact@zerofriction.co.th,http://onepage.sale,,,4
BeNeat,บริษัท บีนีท จำกัด,"Beneat Co., Ltd.","SW, Digital Service",,,,บริการ Platform Web Application และ Mobile Application สำหรับการจัดหาผู้มีทักษะด้านการทำความสะอาดให้กับผู้ที่ต้องการคนช่วยทำความสะอาด,"นาย อานนท์ น้อยอ่ำ, นาย คมคิด ชัชราภรณ์, นาง ปรียลักษณ์ น้อยอำ่",กรุงเทพมหานคร,โครงการลุมพินี ทาวน์เพลส 310/61 รัชโยธิน-เสนา ถนนเสนานิคม 1 ซอย 12 แขวงจันทร์เกษม เขตจตุจักร 10900,0-2080-3991,info@beneat.co,http://www.beneat.co,,,6
